customer_id,first_name,last_name,email,region,signup_date
CUST-00001,FirstName1,LastName1,customer1@example.com,Northeast,2024-01-26
CUST-00002,FirstName2,LastName2,customer2@example.com,Midwest,2024-09-07
CUST-00003,FirstName3,LastName3,customer3@example.com,Southeast,2024-05-22
CUST-00004,FirstName4,LastName4,customer4@example.com,Northeast,2025-11-23
CUST-00005,FirstName5,LastName5,customer5@example.com,West,2024-03-30
CUST-00006,FirstName6,LastName6,customer6@example.com,West,2025-03-08
CUST-00007,FirstName7,LastName7,customer7@example.com,Northeast,2024-01-31
CUST-00008,FirstName8,LastName8,customer8@example.com,Northeast,2024-08-11
CUST-00009,FirstName9,LastName9,customer9@example.com,Southeast,2025-06-01
CUST-00010,FirstName10,LastName10,customer10@example.com,West,2024-01-28
CUST-00011,FirstName11,LastName11,customer11@example.com,West,2024-07-22
CUST-00012,FirstName12,LastName12,customer12@example.com,West,2025-03-05
CUST-00013,FirstName13,LastName13,customer13@example.com,Southeast,2025-04-04
CUST-00014,FirstName14,LastName14,customer14@example.com,West,2024-10-11
CUST-00015,FirstName15,LastName15,customer15@example.com,Northeast,2026-02-16
CUST-00016,FirstName16,LastName16,customer16@example.com,Southeast,2025-12-15
CUST-00017,FirstName17,LastName17,customer17@example.com,Southwest,2024-12-14
CUST-00018,FirstName18,LastName18,customer18@example.com,Midwest,2024-06-08
CUST-00019,FirstName19,LastName19,customer19@example.com,Southeast,2026-02-20
CUST-00020,FirstName20,LastName20,customer20@example.com,Midwest,2024-04-14
CUST-00021,FirstName21,LastName21,customer21@example.com,Northeast,2025-01-24
CUST-00022,FirstName22,LastName22,customer22@example.com,Northeast,2025-01-02
CUST-00023,FirstName23,LastName23,customer23@example.com,Midwest,2025-09-10
CUST-00024,FirstName24,LastName24,customer24@example.com,Midwest,2026-04-06
CUST-00025,FirstName25,LastName25,customer25@example.com,Northeast,2026-01-17
CUST-00026,FirstName26,LastName26,customer26@example.com,Southwest,2025-07-03
CUST-00027,FirstName27,LastName27,customer27@example.com,Northeast,2025-01-22
CUST-00028,FirstName28,LastName28,customer28@example.com,Northeast,2025-07-19
CUST-00029,FirstName29,LastName29,customer29@example.com,Midwest,2026-04-29
CUST-00030,FirstName30,LastName30,customer30@example.com,West,2026-06-25
CUST-00031,FirstName31,LastName31,customer31@example.com,Midwest,2025-08-14
CUST-00032,FirstName32,LastName32,customer32@example.com,Southeast,2025-12-22
CUST-00033,FirstName33,LastName33,customer33@example.com,Northeast,2024-02-16
CUST-00034,FirstName34,LastName34,customer34@example.com,Southeast,2026-03-02
CUST-00035,FirstName35,LastName35,customer35@example.com,Midwest,2024-03-22
CUST-00036,FirstName36,LastName36,customer36@example.com,Southeast,2026-06-06
CUST-00037,FirstName37,LastName37,customer37@example.com,Northeast,2025-01-24
CUST-00038,FirstName38,LastName38,customer38@example.com,Midwest,2025-04-09
CUST-00039,FirstName39,LastName39,customer39@example.com,Midwest,2024-06-15
CUST-00040,FirstName40,LastName40,customer40@example.com,Midwest,2024-12-29
CUST-00041,FirstName41,LastName41,customer41@example.com,Southeast,2025-11-17
